INSERT INTO loggers
('first_name','last_name','state','zip','country','gender','birthdate'),
('Alexande','MCMAHON','IA','38803','US','Male','1951-06-24'),
('Zachary','ROBINSON','ME','67784','US','Male','1986-02-01'),
('Glen','LAWRENCE','NV','73725','US','Male','1955-09-01'),
('John','HOWELL','MI','12625','US','Male','1923-03-28'),
('James','ANDERSEN','CO','71053','US','Male','1934-06-26'),
('Justin','MARTIN','IL','36052','US','Male','1981-01-27'),
('Kevin','KELLER','FL','83461','US','Male','1989-12-28'),
('Josuah','GARCIA','ND','89125','US','Male','1932-04-14'),
('Tyler','REYES','WY','42488','US','Male','1933-08-14'),
('Jason','GLENN','ME','90881','US','Male','1981-01-18'),
('Scott','PAYNE','SD','96473','US','Male','1959-10-02'),
('Nathanae','DAY','MT','66953','US','Male','1994-02-20'),
('Christop','DAY','MI','45793','US','Male','1947-12-30'),
('Brendan','TRUJILLO','OR','61921','US','Male','1987-04-06'),
('Joseph','FRAZIER','HI','94611','US','Male','1957-10-04'),
('Thomas','SMITH','DE','21071','US','Male','1965-09-17'),
('Keith','JENSEN','TX','62444','US','Male','1985-05-28'),
('Travon','FOX','VT','87603','US','Male','1958-12-28'),
('Devon','ANDERSON','AK','51357','US','Male','1990-05-13'),
('Keon','TRAN','OH','25909','US','Male','1959-01-05'),
('Paul','ARNOLD','ND','45423','US','Male','1972-08-02'),
('John','LANE','MN','66280','US','Male','1950-03-08'),
('Colton','THOMPSON','MD','64932','US','Male','1958-08-28'),
('Seth','ROBERTS','SD','65861','US','Male','1972-08-17'),
('Dalton','BROWN','NH','20532','US','Male','1974-06-10'),
('Jacob','OCONNELL','OK','99931','US','Male','1929-01-25'),
('Brandon','BROOKS','CT','84835','US','Male','1928-04-02'),
('Alexande','SANTOS','CA','26579','US','Male','1938-07-31'),
('Brian','LARSON','KS','83470','US','Male','1941-03-23'),
('Arturo','REYES','SC','22276','US','Male','1926-08-02'),
('Gustavo','HUDSON','DE','25480','US','Male','1993-08-12'),
('Kevin','PITTS','IN','39937','US','Male','1958-06-09'),
('Nicholas','WRIGHT','TN','93370','US','Male','1955-05-11'),
('Nicholas','RAMSEY','OK','94032','US','Male','1960-03-28'),
('Kyle','WAGNER','IL','10794','US','Male','1972-10-07'),
('Gavin','CASTILLO','IA','82559','US','Male','1923-09-04'),
('Henry','HUGHES','MS','42191','US','Male','1967-03-11'),
('Nathan','MURPHY','KY','89222','US','Male','1956-12-02'),
('Caleb','WILLIAMS','MT','98958','US','Male','1940-12-19'),
('Josuah','BROWN','DC','19328','US','Male','1937-08-26'),
('Ryan','WARNER','WA','99045','US','Male','1991-11-05'),
('Gabriel','MICHAEL','WY','72733','US','Male','1964-08-27'),
('William','GARZA','GA','77105','US','Male','1933-03-07'),
('Juan','CHUNG','RI','17498','US','Male','1976-10-31'),
('Cody','LEE','MN','87671','US','Male','1964-11-02'),
('Adan','HARMON','CT','14822','US','Male','1968-04-02'),
('Michael','GREGORY','NJ','39013','US','Male','1986-04-23'),
('Anthony','HARVEY','OK','63977','US','Male','1945-11-15'),
('John','WOOD','SD','81818','US','Male','1939-01-10'),
('Marquis','DORSEY','MO','64059','US','Male','1935-01-23'),
('Jacob','LEONARD','FL','14764','US','Male','1926-08-06'),
('Darnell','BROWN','PA','84023','US','Male','1949-03-06'),
('Stephen','JONES','WY','70883','US','Male','1964-02-03'),
('Kevin','SMITH','NC','56518','US','Male','1993-06-11'),
('Arthur','TAYLOR','OH','57042','US','Male','1966-04-14'),
('Austin','BARNES','AR','64696','US','Male','1983-11-24'),
('Madison','BALL','ND','75007','US','Male','1961-10-15'),
('Daniel','JACOBSON','PA','53988','US','Male','1972-08-18'),
('Allan','GUERRERO','NY','33775','US','Male','1970-01-02'),
('Shawn','SMITH','TX','93543','US','Male','1922-07-23'),
('Josuah','CHASE','NC','18187','US','Male','1934-04-17'),
('Curtis','KELLY','DC','72226','US','Male','1933-04-30'),
('Alexande','BARRERA','NH','79524','US','Male','1942-08-30'),
('Jorge','SCOTT','FL','78013','US','Male','1944-03-06'),
('Patrick','SMITH','WV','74427','US','Male','1973-12-27'),
('Mark','JACOBS','SD','26619','US','Male','1983-09-01'),
('James','GONZALES','WA','33984','US','Male','1947-11-18'),
('Raul','STEVENS','ME','98260','US','Male','1935-02-21'),
('Matthew','YOUNG','SD','33072','US','Male','1990-03-26'),
('Alexande','THOMPSON','CT','87613','US','Male','1967-09-07'),
('Cole','CHURCH','AR','21650','US','Male','1989-07-01'),
('David','CHANDLER','AL','41266','US','Male','1956-11-12'),
('Neil','MOORE','VT','13693','US','Male','1986-10-30'),
('Stephen','MURRAY','IL','32153','US','Male','1945-10-13'),
('Quincy','SCOTT','NV','38659','US','Male','1979-09-07'),
('Timothy','FERGUSON','SD','38400','US','Male','1993-05-08'),
('Tyler','WEST','DC','80875','US','Male','1948-04-28'),
('Patrick','MOORE','IL','81030','US','Male','1956-09-24'),
('Juan','LUNA','IL','74416','US','Male','1950-03-12'),
('Thomas','SAUNDERS','SD','46234','US','Male','1930-12-26'),
('Jared','GREEN','NE','37371','US','Male','1991-03-28'),
('Alexande','LEE','NV','14196','US','Male','1939-05-14'),
('Brennan','BARNETT','ID','89836','US','Male','1976-06-03'),
('Owen','HOLLAND','WV','42570','US','Male','1947-07-26'),
('Adam','DILLON','MT','96450','US','Male','1980-01-15'),
('Richard','HARRIS','AZ','91220','US','Male','1964-01-28'),
('Nathan','ALLEN','VA','86417','US','Male','1926-09-10'),
('Coleman','DURAN','DC','72958','US','Male','1976-06-28'),
('Jacob','WEST','MN','94160','US','Male','1990-07-02'),
('Joseph','MOORE','IL','10603','US','Male','1971-05-13'),
('Andrew','JOHNSON','MS','79426','US','Male','1976-09-21'),
('Erik','WATTS','AZ','20176','US','Male','1988-12-27'),
('Anton','MCMILLAN','SD','49800','US','Male','1945-09-17'),
('Junior','HOLLOWAY','WA','80934','US','Male','1941-10-12'),
('Nicholas','OLSON','MO','59404','US','Male','1940-08-16'),
('Parker','BAKER','ND','97847','US','Male','1992-09-16'),
('James','GARCIA','MN','54313','US','Male','1984-04-19'),
('Brian','HANSON','WA','86949','US','Male','1986-09-03'),
('Dakota','RIOS','NY','43484','US','Male','1978-11-24'),
('Joseph','TRAN','OR','27017','US','Male','1991-04-13'),
('Mark','GRAVES','NC','45033','US','Male','1951-07-28'),
('Benjamin','COOLEY','WV','59818','US','Male','1937-01-30'),
('Ryan','BARTON','ME','76710','US','Male','1924-03-18'),
('Shawn','BUTLER','DE','68123','US','Male','1950-03-15'),
('Joseph','MORALES','CO','48991','US','Male','1968-09-11'),
('Richard','SHORT','RI','99689','US','Male','1972-08-03'),
('Brandon','FREEMAN','MS','23926','US','Male','1972-03-20'),
('Nolan','GARRISON','IL','58832','US','Male','1992-12-09'),
('Raymond','COLE','NM','50245','US','Male','1986-11-21'),
('Carlos','PINEDA','MN','60116','US','Male','1946-12-26'),
('Austin','WARREN','NE','50889','US','Male','1959-02-19'),
('Kevin','CARDENAS','HI','77800','US','Male','1970-12-04'),
('Christop','YOUNG','MN','89799','US','Male','1938-01-07'),
('Brendan','CHARLES','MS','90644','US','Male','1949-12-27'),
('Kevin','BROOKS','LA','90450','US','Male','1974-03-07'),
('Davin','HALL','OR','21609','US','Male','1962-08-19'),
('Tyrell','RODRIGUEZ','NC','49732','US','Male','1991-12-26'),
('Ryan','SMITH','NC','74228','US','Male','1988-04-08'),
('Philip','SMITH','OK','13170','US','Male','1971-02-22'),
('Jakob','JOHNSON','WI','60499','US','Male','1970-08-11'),
('Gabriel','BRIGHT','NH','17142','US','Male','1979-01-02'),
('Craig','WELLS','OH','34216','US','Male','1923-10-27'),
('John','THOMPSON','IN','80049','US','Male','1932-11-19'),
('Corey','PETERSON','IL','83163','US','Male','1927-02-22'),
('Jeremiah','JOHNSON','PA','97797','US','Male','1966-02-09'),
('Richard','HERMAN','UT','93093','US','Male','1924-04-26'),
('Austin','NORRIS','MI','58017','US','Male','1958-03-04'),
('Rashad','LEBLANC','CT','69327','US','Male','1926-12-05'),
('Aaron','RICHARDSON','DC','96551','US','Male','1982-11-07'),
('Stephen','JOHNSON','FL','49379','US','Male','1935-07-04'),
('Grady','SMITH','NE','62133','US','Male','1954-11-19'),
('Ryan','EDWARDS','ND','87015','US','Male','1994-01-09'),
('James','RICHARDS','ID','42685','US','Male','1987-05-13'),
('Efrain','SAMPSON','MS','11551','US','Male','1982-10-26'),
('Daniel','HOWELL','AL','56706','US','Male','1978-09-10'),
('Shannon','ONEAL','GA','10919','US','Male','1965-04-07'),
('James','KNAPP','IL','47781','US','Male','1983-12-03'),
('John','CLARK','OH','62724','US','Male','1966-09-12'),
('Austin','SHERMAN','SD','19697','US','Male','1938-01-02'),
('Brian','NORRIS','CA','72700','US','Male','1942-08-23'),
('Ethan','GREEN','ME','88999','US','Male','1924-03-27'),
('Seth','JUAREZ','UT','12636','US','Male','1994-04-09'),
('Julian','HARRISON','MA','22043','US','Male','1927-07-30'),
('Walker','MARTINEZ','TN','89455','US','Male','1935-05-10'),
('Ismael','MORALES','WI','45638','US','Male','1931-04-15'),
('Roderick','TAYLOR','WY','30657','US','Male','1980-02-29'),
('Demarcus','WRIGHT','OH','74429','US','Male','1933-10-18'),
('Wesley','FORBES','MO','13844','US','Male','1934-02-08'),
('Todd','NGUYEN','DE','39514','US','Male','1947-05-29'),
('Stephen','BENTLEY','IL','27694','US','Male','1931-02-05'),
('Dale','SMITH','SC','11111','US','Male','1966-01-15'),
('Curtis','WALTER','NE','87075','US','Male','1958-05-06'),
('Lewis','HORNE','NJ','74750','US','Male','1978-01-31'),
('Kevin','SOTO','PA','15778','US','Male','1933-12-28'),
('Zacharia','GILBERT','OH','23068','US','Male','1987-03-01'),
('Josuah','WEBB','AL','27182','US','Male','1940-12-13'),
('Garrett','OLSON','OK','67247','US','Male','1937-08-03'),
('Austin','OBRIEN','WI','14445','US','Male','1969-07-05'),
('Lewis','SMITH','WY','99614','US','Male','1937-11-26'),
('Noah','RODRIGUEZ','PA','37859','US','Male','1968-11-06'),
('Jack','POTTS','HI','93166','US','Male','1960-09-16'),
('Marshall','HOLMES','AZ','80094','US','Male','1974-05-08'),
('Coty','GOODWIN','UT','44606','US','Male','1990-10-14'),
('Jeffrey','HOFFMAN','MA','38917','US','Male','1991-06-18'),
('Tyler','MCCOY','SD','22592','US','Male','1972-10-18'),
('John','SMITH','MN','31838','US','Male','1932-05-25'),
('Tyler','ESPINOZA','MN','74533','US','Male','1958-04-14'),
('Nicholas','HOLLAND','ME','12386','US','Male','1960-06-27'),
('Tyler','BATES','TN','87148','US','Male','1926-11-10'),
('Thomas','CLARKE','MI','65973','US','Male','1925-12-24'),
('Oscar','HARRIS','GA','83588','US','Male','1940-12-02'),
('Juan','TURNER','IA','68208','US','Male','1928-01-06'),
('Brandon','LOWERY','NV','65474','US','Male','1946-07-02'),
('Matthew','MILLER','CT','51156','US','Male','1968-12-12'),
('Brandon','TAYLOR','SD','77831','US','Male','1963-01-05'),
('Justin','COLEMAN','OR','49224','US','Male','1957-12-12'),
('Kevin','LAWRENCE','SC','64070','US','Male','1939-07-27'),
('Benjamin','SILVA','NH','44548','US','Male','1926-08-01'),
('Evan','COBB','UT','31710','US','Male','1972-08-24'),
('Ignacio','PERRY','MA','84031','US','Male','1985-11-10'),
('Brian','SIMMONS','NE','81221','US','Male','1931-04-04'),
('Cooper','HEATH','VT','81797','US','Male','1957-01-30'),
('Lewis','MILLER','GA','68821','US','Male','1956-09-03'),
('Brendan','ANDERSON','NV','38246','US','Male','1993-09-19'),
('Devin','MILLS','ME','55297','US','Male','1930-04-18'),
('Jamel','CRAIG','TN','46930','US','Male','1963-11-28'),
('Benjamin','STRICKLAND','NC','86666','US','Male','1946-09-19'),
('Joseph','DORSEY','MN','19144','US','Male','1983-08-16'),
('Jacob','TAYLOR','MA','15951','US','Male','1965-08-28'),
('Jesse','LEWIS','ID','95191','US','Male','1981-04-22'),
('Thomas','REYES','NV','83838','US','Male','1972-06-09'),
('Noel','WILLIAMS','SD','50765','US','Male','1976-11-12'),
('Shawn','MILLER','OR','67153','US','Male','1946-01-25'),
('Kevin','LEON','TN','40366','US','Male','1988-07-06'),
('Grayson','FRYE','VT','30177','US','Male','1944-07-26'),
('William','YOUNG','RI','83790','US','Male','1940-10-02'),
('Ivan','CARLSON','WI','76509','US','Male','1979-08-26'),
('Richard','CAMPBELL','ID','27588','US','Male','1984-07-03'),
('Michael','THOMAS','KS','37651','US','Male','1950-08-17'),
('Adrian','WALLACE','UT','31924','US','Male','1993-01-27'),
('Kyle','HILL','GA','36069','US','Male','1939-01-20'),
('Ryan','COLON','LA','81337','US','Male','1963-06-30'),
('Jeffrey','MILLER','WA','81634','US','Male','1972-12-16'),
('Arturo','DAVIS','NJ','17480','US','Male','1960-08-23'),
('Stephen','DIXON','UT','99004','US','Male','1978-10-08'),
('Darius','TORRES','NC','17198','US','Male','1970-10-28'),
('Patrick','BOOTH','NJ','80068','US','Male','1962-07-30'),
('Giovanni','BAUER','MO','35698','US','Male','1951-09-15'),
('Caleb','ALEXANDER','ID','11286','US','Male','1965-09-06'),
('Kevin','FERNANDEZ','IA','21916','US','Male','1925-08-09'),
('Shawn','HILL','OK','17359','US','Male','1952-06-15'),
('Carlos','CROSS','NJ','79321','US','Male','1932-06-10'),
('Josuah','PAGE','WV','50184','US','Male','1989-04-25'),
('Darnell','MILLER','HI','66358','US','Male','1925-12-18'),
('Ryan','BROWN','NE','73301','US','Male','1969-07-22'),
('Ryan','MORRIS','IL','74432','US','Male','1972-04-21'),
('Walter','ANDERSON','KS','64425','US','Male','1957-10-06'),
('Eric','HARDY','MO','89908','US','Male','1992-12-03'),
('Anthony','GRIFFIN','OH','97382','US','Male','1953-12-11'),
('Josuah','ROSS','AK','59503','US','Male','1927-11-12'),
('Terence','SOTO','NJ','24203','US','Male','1971-10-13'),
('Alexande','WAGNER','FL','35257','US','Male','1970-05-08'),
('Brad','JOHNSON','NV','77875','US','Male','1944-08-08'),
('Deandre','GUERRERO','UT','42065','US','Male','1979-03-04'),
('Matthew','RIOS','DC','14606','US','Male','1952-09-19'),
('Nicholas','ANDERSON','DC','70974','US','Male','1976-10-11'),
('Mitchell','WELCH','NH','75346','US','Male','1955-04-23'),
('Thomas','DICKSON','NE','95314','US','Male','1985-03-27'),
('Daniel','JOHNSON','MO','74961','US','Male','1932-11-25'),
('Patrick','JOHNSON','OH','24418','US','Male','1960-12-17'),
('Lewis','SILVA','WI','30977','US','Male','1934-12-22'),
('Kenneth','SOTO','AZ','78364','US','Male','1937-09-30'),
('Stephen','MONTGOMERY','MT','46481','US','Male','1965-01-02'),
('Daquan','LANE','PA','30968','US','Male','1935-03-26'),
('Derek','OBRIEN','MO','80163','US','Male','1960-11-27'),
('Robert','CHAN','OK','32053','US','Male','1973-11-08'),
('Ryan','ROBERTSON','OK','89741','US','Male','1970-08-14'),
('Andrew','ROBERSON','MT','43274','US','Male','1963-03-28'),
('Vincent','COFFEY','NE','61472','US','Male','1923-10-14'),
('James','ROBERTS','RI','42722','US','Male','1926-03-20'),
('David','WILLIAMS','WI','84505','US','Male','1937-05-24'),
('William','UNDERWOOD','MT','50190','US','Male','1945-04-18'),
('Shane','KIDD','OH','98907','US','Male','1988-01-16'),
('Justin','PATRICK','MA','29278','US','Male','1978-01-17'),
('Nathan','ALVARADO','UT','59738','US','Male','1965-02-19'),
('Raymond','COLON','WI','54750','US','Male','1989-12-03'),
('Christop','SMITH','TN','29833','US','Male','1975-08-17'),
('Zackery','GILES','FL','67750','US','Male','1950-01-19'),
('Zachary','WARD','CT','11892','US','Male','1923-01-24'),
('Tyler','LONG','AR','94452','US','Male','1968-09-02'),
('Lucas','HANEY','HI','76192','US','Male','1989-07-24'),
('Andrew','MCCOY','IN','93659','US','Male','1989-03-23'),
('Dalton','REEVES','FL','36859','US','Male','1927-07-04'),
('Skylar','HAWKINS','NY','92924','US','Male','1968-09-16'),
('Cameron','SHEPPARD','WA','85755','US','Male','1962-06-10'),
('Devon','ADKINS','ND','13618','US','Male','1990-09-10'),
('Javier','FRANK','NV','62564','US','Male','1943-12-07'),
('Miguel','MAY','NM','11450','US','Male','1962-10-24'),
('Luke','ARNOLD','DE','65129','US','Male','1969-11-06'),
('Austin','BAXTER','DE','55100','US','Male','1975-11-18'),
('Charles','MITCHELL','CO','48749','US','Male','1955-05-01'),
('David','WILLIS','FL','41884','US','Male','1956-01-30'),
('Kyle','WAGNER','KY','60715','US','Male','1934-08-09'),
('Peter','NEWTON','DC','12311','US','Male','1973-12-29'),
('Frank','KLEIN','KY','93348','US','Male','1947-09-14'),
('Felix','MEYERS','CO','25010','US','Male','1975-12-31'),
('Hunter','MILLER','CA','34487','US','Male','1921-11-15'),
('Reginald','CRAWFORD','IN','73581','US','Male','1978-06-19'),
('Evan','BROWN','ME','24833','US','Male','1956-05-17'),
('Matthew','PORTER','CA','94584','US','Male','1944-04-28'),
('Francis','SMITH','SD','58912','US','Male','1927-08-24'),
('William','DICKSON','RI','83366','US','Male','1983-03-12'),
('Daren','MILLER','WV','26505','US','Male','1929-03-05'),
('Caleb','JACKSON','GA','59428','US','Male','1942-06-24'),
('Michael','JOHNSON','AZ','35840','US','Male','1974-12-20'),
('Anthony','UNDERWOOD','PA','12102','US','Male','1926-11-23'),
('Miguel','BARNES','NY','83576','US','Male','1977-10-12'),
('Josuah','ROSS','WY','72866','US','Male','1981-12-13'),
('Jared','WYATT','RI','13282','US','Male','1977-10-14'),
('Richard','PHILLIPS','VA','75340','US','Male','1984-10-29'),
('Victor','CARPENTER','NM','92804','US','Male','1950-12-02'),
('Spencer','MOSLEY','KS','40170','US','Male','1944-11-29'),
('Justin','GRAHAM','MS','36208','US','Male','1937-12-10'),
('Jeremiah','HUFF','NV','56640','US','Male','1959-12-15'),
('Samuel','GARDNER','LA','15164','US','Male','1990-01-05'),
('Stephen','WEST','HI','40669','US','Male','1992-06-07'),
('Alexande','ANDRADE','PA','36745','US','Male','1944-07-17'),
('Niko','HAYNES','TX','79732','US','Male','1936-11-30'),
('Michael','JACKSON','VT','33362','US','Male','1984-07-01'),
('John','CARTER','ND','62578','US','Male','1934-10-09'),
('Eric','COOPER','OK','85662','US','Male','1961-02-11'),
('Christop','VALENZUELA','FL','67518','US','Male','1939-10-26'),
('Pablo','GRANT','KY','75168','US','Male','1940-10-30'),
('Leland','JAMES','MS','67767','US','Male','1972-12-04'),
('Matthew','VEGA','FL','64454','US','Male','1983-12-17'),
('Austin','EVANS','WI','62750','US','Male','1964-03-14'),
('Matthew','GARRETT','VA','61072','US','Male','1946-07-18'),
('Trevor','TAYLOR','ND','79684','US','Male','1986-03-07'),
('Gerald','KELLY','AZ','26632','US','Male','1968-02-14'),
('Brenton','TREVINO','DC','12501','US','Male','1935-10-20'),
('James','COX','MS','12780','US','Male','1956-05-03'),
('Brian','JOHNSON','OR','96424','US','Male','1978-11-19'),
('Charles','GARCIA','MD','94743','US','Male','1973-01-06'),
('Lucas','ROBERTSON','CT','55323','US','Male','1963-08-18'),
('Kyle','BRENNAN','KS','34652','US','Male','1965-08-10'),
